,ids,Forecasted_gmv_values
0,00183cfe-ceb0-9220-7984-f33f61c61ae4,32914.79166666667
1,001b10c4-0ec1-68c9-a059-0a44159119bd,21265.12569125095
2,002f9cc4-096b-faff-f5b7-751f497e28aa,58214.75888149615
3,0030f3fb-01f7-1027-555c-7e9f7a793d3e,38023.08333333334
4,006baa01-fdbc-26e7-8734-baefc2e4866f,24526.708333333343
5,007b0a78-f278-d163-d312-8e5cbea3351d,12473.52173649942
6,00a1402e-57e7-ef7b-8486-10cfd21276c2,29410.58287710366
7,00ac317a-dd82-ab3e-2868-5bdd02c81d11,29850.562778429718
8,00d3d1af-353e-0c86-24ae-ba79e4b82987,12554.312265983523
9,0111aca2-9949-07f1-283d-53d5bce4588e,9280.159849443371
10,01364fc5-1a6e-d97f-03cd-7bab667b94c9,55054.19155265611
11,013a3cfa-d2b2-7882-3b2d-32d0a65c2fea,52222.0
12,0140a718-b50a-2a65-6ca3-6771c7ef28e7,29844.2363952772
13,01847803-d840-fccb-2446-eceecaa0a679,25656.06272501264
14,01a02c0d-1161-fdb0-b0d0-f5cb084ada1c,1966.9285018574556
15,01a39f80-6333-d1ec-8c85-ca141ef02a90,21163.85767864601
16,01f5b716-4b50-0821-26b6-31e03ae688c0,31821.08333333334
17,0203d17e-40d9-56b5-b5af-e2bdb377281f,1099.8635049668146
18,022fe37d-c8a7-cea0-06eb-b89d6099ee1f,23971.415888096686
19,023f3852-0af8-d933-5f99-697f70ef6d2b,22619.663095184827
20,025f1f28-e4d9-d8f5-9aa0-fe016a66817e,14145.809892800658
21,026e7549-fd37-729e-86be-49572e1a901c,18089.430644009575
22,027752fe-61f6-8c6e-689c-0559bf4fa4a3,17191.734178168757
23,028b4601-c928-eb58-4b24-de88a308406d,28665.390981526936
24,02a8c33b-0af1-d4ed-0a44-36bc8224a1c8,9849.386726007468
25,02c336a0-64b3-191b-d929-12440dc513b6,33134.45344886549
26,02cbc304-90d0-6d0f-4fe2-45b6cc4e0460,5042.000000000001
27,02ce965d-352c-08a4-82b2-a2ae2b950753,8991.0
28,033f692f-ad9d-81e7-0685-e760530d9dac,19214.33333333334
29,0361524c-2cc0-f859-aa65-24ab713b7e05,37287.82687589637
30,03622744-2eb5-77f3-b459-4714a263e403,19298.31002536928
31,037d4e96-8504-8d9b-89a2-d95447914603,24863.699005006554
32,039d60ba-9c99-3735-15a6-52a708fce7af,44892.75
33,03a5fab2-a04d-1ed4-7e56-ed9f507de9cf,42411.647067377984
34,03a7590a-b25c-c9a3-edbc-59fe47c2e637,15526.166666666672
35,03aa88ef-0678-03d5-d805-3e4845aff4b8,7429.473294894837
36,03aca477-4254-efad-6bb7-4d12b350b84b,5228.000000000001
37,03b5cdd7-b367-f684-6d76-fa6341761cbe,52155.77570759898
38,03c54c71-fca0-5536-2169-df82b9bdee2d,12022.041666666666
39,03d03575-54bb-58bd-4e8b-1b517a0cd3b5,60876.28655376575
40,03d820d3-a3aa-1c06-b050-c7df142fa639,63530.24785073365
41,03f9c3a3-5fb1-a0dd-34fe-f75045709961,37198.819029595434
42,042506df-e159-eeab-6b52-f0583a7fe1b3,21932.205594638275
43,04640385-3e14-6555-b323-2c2a52428b6a,13644.347660696676
44,047cd56e-fd6c-c364-8191-cbeb175bf448,18913.69391351025
45,0482d7b1-0b5b-e161-deda-995b78c0aefd,17157.371285855334
46,0487ff4a-7967-3ae8-d12e-368d633344fb,16198.946895895357
47,049167c9-b519-2f8e-85f8-7f5c71347c31,34182.53027222782
48,04c8ead7-5bf3-8980-bf15-e8a5b5812f88,13985.91666666667
49,04e93690-0b4e-3fdc-4907-68b00530aee3,15907.423573040875
50,04ef5ca7-e196-1f7a-1d67-829c937a8c37,4037.842125303996
51,04f980a2-a168-07b0-ae2d-33bdb46c7a54,13988.375000000005
52,051266c2-d444-3d7f-595a-f0cfd16a2182,14891.779966352286
53,0534a252-a6d3-b6c4-7810-c0405cec2965,19984.198023329533
54,054961d6-0438-b3d4-a81b-3fe3fda48455,10848.725249546334
55,05c0826a-c67c-6d5a-4504-74442a6188b2,21186.81358968779
56,05d5859b-111e-6105-d0fb-1596b3deed9f,31793.041666666675
57,05dd1ef0-0806-38c9-4967-49fbb2e02961,20214.904165604945
58,05eae756-111a-f0c6-76be-813738d0b720,20020.041804686807
59,05eb09ba-a028-7d1e-2595-04cada6b236d,50133.45929852553
60,062fce1b-34ed-6821-7ae3-a848e79d67bc,16910.49799481909
61,0654f465-b311-d9c4-1d86-fd12c8359b91,8934.413417853546
62,066df3fe-8a07-3105-1547-0e5505adc80b,28312.89727201567
63,06714938-04fe-973d-261c-ec19fff83cec,14703.212123393481
64,067fece7-f1ff-06dc-f45a-a79bd855fb35,29616.85957605116
65,06a8e22f-d57c-af0d-9db3-466d1ba6cc61,19029.16226743251
66,06f187c2-1805-9deb-c3b9-996fcfe36f57,20180.41666666667
67,0717eb47-3104-f7c5-f152-5077a7806577,14902.810057324701
68,0726d44a-2152-03c7-421a-a15ef58c43ce,11725.462922015286
69,0777a678-3c89-7d01-483e-3b0c72e6ea7b,29992.16392953308
70,079b2d72-86de-0552-d152-7d3846c4f1c4,17402.401106206955
71,07b52a8b-0af0-1e69-853a-91353ee2151b,16517.918840404065
72,07b62caf-fafd-260a-c544-0df00080c826,23223.625000000004
73,07d5e121-623a-35ae-7a31-a27cced4dd7c,38917.79386583714
74,07f819db-e8d7-025b-8a8b-c03efafd02b8,-4819.661059330359
75,07fd4672-7c9d-68a5-a764-6631867eda2e,21836.179193653632
76,080ba0b1-bb47-b997-d4b3-e0f143173432,2513.005237902902
77,085d7943-eb63-d7ef-1540-654de644d4f4,27644.883280853668
78,0870e15c-2fcd-81b5-d24b-ace4307bf326,-412085.99999999953
79,088808b9-fc23-e8aa-9df1-ec81bc54eab3,10056.225898438177
80,08900b58-d75d-9659-2079-45e39329393d,35576.0
81,089f059c-f6e6-8035-3612-12fe40dac72e,70225.66040991605
82,08b8427a-8a34-d6d4-8dc7-8aa722ee475c,9518.481180082272
83,08bee994-0814-34b9-77fb-38722edee8e6,15997.737415895675
84,08ccf199-2ed9-73d0-7846-ce9a623d110d,-85085.62084694453
85,08db1e3e-915c-4259-bab2-d8ab2818e27a,10860.618814282116
86,08df6b19-7c3a-d037-20d5-c16e961139cf,32775.20833333334
87,08e2745c-f106-1c85-f87c-252130c4e2e6,-139099.74168371962
88,08ffe28c-5926-0d4d-cc75-c775c02ff5f2,13471.429888133287
89,0907ca13-1511-a3f9-c46e-1738790b1990,-3889.690730165686
90,09176692-6bc8-c0e3-af9c-64ef9806ba8f,46033.810406079974
91,091d5dc7-e584-02a4-7fbb-6e84b04e67ee,20496.542499810043
92,091eca72-0278-6963-79be-384524584b39,33745.62499999999
93,092770d2-86c5-6c45-79dd-6e7597a03443,24468.999999999993
94,093c656e-b5fa-b19e-4c38-38a24b44b4f9,28058.09518787227
